epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5619,1.33197,1.23865,1.07554,0.95211,0.89157,0.92231,0.59214,1.22802,0.70732,1.0038,0.0701357,0.00331825,0.00331825
2,141.26,1.19105,0.66587,0.98634,0.96009,0.87676,0.92413,0.58986,1.24276,0.69955,1.0342,0.0388187,0.00533457,0.00533457
3,208.683,1.19416,0.66667,0.99976,0.93098,0.85421,0.91216,0.59299,1.22362,0.72973,1.02895,0.00618172,0.00603089,0.00603089
4,277.157,1.17455,0.64712,0.99911,0.95446,0.88794,0.93068,0.62802,1.17006,0.61214,1.03003,0.00406,0.00406,0.00406
5,347.443,1.11939,0.57214,0.99385,0.95889,0.90661,0.94315,0.64959,1.13281,0.55254,1.00881,0.00208,0.00208,0.00208
